iter	Passed	Remaining
0	1	140
1	2	131
2	3	122
3	4	114
4	5	112
5	7	112
6	8	110
7	9	108
8	10	107
9	11	105
10	12	103
11	14	103
12	15	101
13	16	100
14	17	99
15	18	98
16	19	96
17	20	94
18	22	94
19	23	92
20	24	91
21	25	89
22	26	88
23	27	87
24	28	86
25	29	85
26	30	83
27	31	82
28	32	80
29	34	79
30	35	78
31	36	77
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	60	51
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	110	2
98	111	1
99	112	0
